x1,x2,y1,y2
273.75,353.5,0.593,0
273.71,353.6,-0.1,0.04
273.71,353.8,-0.2,0
273.67,354.1,-0.3,0.04
273.663,354.5,-0.4,0.007
273.682,354.999,-0.499,-0.019
273.64,355.598,-0.598,0.042
273.61,356.294,-0.696,0.03
273.586,357.087,-0.793,0.024
273.56,357.976,-0.889,0.026
273.526,358.959,-0.983,0.034
273.476,360.034,-1.075,0.049
273.405,361.2,-1.165,0.071
273.312,362.456,-1.256,0.093
273.197,363.801,-1.346,0.115
273.06,365.238,-1.436,0.137
272.902,366.764,-1.526,0.159
272.721,368.38,-1.617,0.18
272.519,370.087,-1.707,0.202
272.295,371.884,-1.797,0.224
272.05,373.771,-1.887,0.246
271.782,375.749,-1.977,0.268
271.493,377.816,-2.068,0.289
271.182,379.974,-2.158,0.311
270.849,382.222,-2.248,0.333
270.494,384.56,-2.338,0.355
270.117,386.989,-2.428,0.377
269.781,389.317,-2.328,0.337
269.484,391.545,-2.228,0.297
269.228,393.674,-2.128,0.257
269.011,395.702,-2.028,0.217
268.835,397.631,-1.928,0.177
268.698,399.459,-1.828,0.137
268.602,401.187,-1.728,0.097
268.545,402.816,-1.628,0.057
268.528,404.344,-1.528,0.017
268.552,405.773,-1.428,-0.023
268.535,407.101,-1.328,0.017
268.559,408.33,-1.228,-0.023
268.542,409.458,-1.128,0.017
268.566,410.486,-1.028,-0.023
268.549,411.415,-0.928,0.017
268.511,412.433,-1.019,0.038
268.451,413.542,-1.109,0.06
268.369,414.741,-1.199,0.082
268.265,416.031,-1.289,0.104
268.139,417.41,-1.379,0.126
267.992,418.88,-1.47,0.147
267.823,420.44,-1.56,0.169
267.625,422.088,-1.648,0.198
267.393,423.821,-1.733,0.232
267.119,425.637,-1.816,0.274
266.797,427.533,-1.896,0.322
266.422,429.505,-1.972,0.375
265.987,431.55,-2.046,0.435
265.485,433.666,-2.115,0.501
264.912,435.847,-2.181,0.573
264.267,438.093,-2.247,0.645
263.55,440.406,-2.313,0.717
262.873,442.618,-2.213,0.677
262.236,444.731,-2.113,0.637
261.639,446.744,-2.013,0.597
261.082,448.656,-1.913,0.557
260.565,450.469,-1.813,0.517
260.089,452.181,-1.713,0.477
